elec_date,county,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/5/2024,"ALFALFA","ALFALFA COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,8,8,1,"YES",,28,222,948,1198,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,8,8,2,"NO",,18,166,641,825,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,8,8,1,"YES",,30,211,925,1166,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,8,8,2,"NO",,16,175,664,855,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,8,8,1,"YES",,24,184,841,1049,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,8,8,2,"NO",,22,203,750,975,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,8,8,1,"YES",,29,222,941,1192,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,8,8,2,"NO",,20,165,634,819,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,8,8,1,"YES",,28,228,952,1208,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,8,8,2,"NO",,21,161,620,802,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,8,8,1,"YES",,26,211,924,1161,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,8,8,2,"NO",,23,176,650,849,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,8,8,1,"YES",,25,187,804,1016,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,8,8,2,"NO",,24,201,771,996,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,8,8,1,"YES",,27,204,850,1081,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,8,8,2,"NO",,22,185,728,935,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,8,8,1,"YES",,26,199,830,1055,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,8,8,2,"NO",,23,190,745,958,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,8,8,1,"FOR THE PROPOSAL - YES",,19,147,627,793,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,8,8,2,"AGAINST THE PROPOSAL - NO",,36,256,993,1285,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,8,8,1,"FOR THE PROPOSAL - YES",,54,368,1507,1929,,
11/5/2024,"ALFALFA","ALFALFA COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,8,8,2,"AGAINST THE PROPOSAL - NO",,2,35,143,180,,
11/5/2024,"ATOKA","ATOKA COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,13,13,1,"CHASE OLIVER | MIKE TER MAAT",LIB,0,1,7,8,,
11/5/2024,"ATOKA","ATOKA COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,13,13,2,"DONALD J. TRUMP | JD VANCE",REP,94,1524,3214,4832,,
11/5/2024,"ATOKA","ATOKA COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,13,13,3,"KAMALA D. HARRIS | TIM WALZ",DEM,42,286,451,779,,
11/5/2024,"ATOKA","ATOKA COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,13,13,4,"ROBERT F. KENNEDY JR. | NICOLE SHANAHAN",IND,0,4,28,32,,
11/5/2024,"ATOKA","ATOKA COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,13,13,5,"CHRIS GARRITY | CODY BALLARD",IND,0,2,9,11,,
11/5/2024,"ATOKA","ATOKA COUNTY",10002,"FOR CORPORATION COMMISSIONER",,13,13,1,"CHAD WILLIAMS",LIB,3,67,175,245,,
11/5/2024,"ATOKA","ATOKA COUNTY",10002,"FOR CORPORATION COMMISSIONER",,13,13,2,"J. BRIAN BINGMAN",REP,94,1420,2946,4460,,
11/5/2024,"ATOKA","ATOKA COUNTY",10002,"FOR CORPORATION COMMISSIONER",,13,13,3,"HAROLD D SPRADLING",DEM,35,287,499,821,,
11/5/2024,"ATOKA","ATOKA COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,13,13,1,"JOSH BRECHEEN",REP,95,1505,3125,4725,,
11/5/2024,"ATOKA","ATOKA COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,13,13,2,"BRANDON WADE",DEM,37,260,424,721,,
11/5/2024,"ATOKA","ATOKA COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,13,13,3,"RONNIE HOPKINS",IND,2,38,124,164,,
11/5/2024,"ATOKA","ATOKA COUNTY",20003,"SUPREME COURT DISTRICT 3",,13,13,1,"YES",,57,610,1229,1896,,
11/5/2024,"ATOKA","ATOKA COUNTY",20003,"SUPREME COURT DISTRICT 3",,13,13,2,"NO",,56,1006,2190,3252,,
11/5/2024,"ATOKA","ATOKA COUNTY",20004,"SUPREME COURT DISTRICT 4",,13,13,1,"YES",,53,594,1195,1842,,
11/5/2024,"ATOKA","ATOKA COUNTY",20004,"SUPREME COURT DISTRICT 4",,13,13,2,"NO",,61,1019,2207,3287,,
11/5/2024,"ATOKA","ATOKA COUNTY",20007,"SUPREME COURT DISTRICT 7",,13,13,1,"YES",,55,640,1327,2022,,
11/5/2024,"ATOKA","ATOKA COUNTY",20007,"SUPREME COURT DISTRICT 7",,13,13,2,"NO",,59,978,2088,3125,,
11/5/2024,"ATOKA","ATOKA COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,13,13,1,"YES",,73,881,1909,2863,,
11/5/2024,"ATOKA","ATOKA COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,13,13,2,"NO",,34,688,1424,2146,,
11/5/2024,"ATOKA","ATOKA COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,13,13,1,"YES",,71,804,1662,2537,,
11/5/2024,"ATOKA","ATOKA COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,13,13,2,"NO",,39,758,1633,2430,,
11/5/2024,"ATOKA","ATOKA COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,13,13,1,"YES",,67,742,1474,2283,,
11/5/2024,"ATOKA","ATOKA COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,13,13,2,"NO",,42,819,1811,2672,,
11/5/2024,"ATOKA","ATOKA COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,13,13,1,"YES",,71,879,1917,2867,,
11/5/2024,"ATOKA","ATOKA COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,13,13,2,"NO",,39,682,1366,2087,,
11/5/2024,"ATOKA","ATOKA COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,13,13,1,"YES",,74,894,1928,2896,,
11/5/2024,"ATOKA","ATOKA COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,13,13,2,"NO",,35,658,1338,2031,,
11/5/2024,"ATOKA","ATOKA COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,13,13,1,"YES",,70,890,1885,2845,,
11/5/2024,"ATOKA","ATOKA COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,13,13,2,"NO",,40,657,1386,2083,,
11/5/2024,"ATOKA","ATOKA COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,13,13,1,"YES",,67,735,1477,2279,,
11/5/2024,"ATOKA","ATOKA COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,13,13,2,"NO",,43,817,1794,2654,,
11/5/2024,"ATOKA","ATOKA COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,13,13,1,"YES",,68,864,1800,2732,,
11/5/2024,"ATOKA","ATOKA COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,13,13,2,"NO",,42,688,1463,2193,,
11/5/2024,"ATOKA","ATOKA COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,13,13,1,"YES",,66,722,1507,2295,,
11/5/2024,"ATOKA","ATOKA COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,13,13,2,"NO",,44,826,1762,2632,,
11/5/2024,"ATOKA","ATOKA COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,13,13,1,"FOR THE PROPOSAL - YES",,39,479,849,1367,,
11/5/2024,"ATOKA","ATOKA COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,13,13,2,"AGAINST THE PROPOSAL - NO",,78,1157,2602,3837,,
11/5/2024,"ATOKA","ATOKA COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,13,13,1,"FOR THE PROPOSAL - YES",,112,1518,3166,4796,,
11/5/2024,"ATOKA","ATOKA COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,13,13,2,"AGAINST THE PROPOSAL - NO",,15,180,380,575,,
11/5/2024,"BEAVER","BEAVER COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,1,"CHASE OLIVER | MIKE TER MAAT",LIB,1,0,7,8,,
11/5/2024,"BEAVER","BEAVER COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,2,"DONALD J. TRUMP | JD VANCE",REP,72,459,1407,1938,,
11/5/2024,"BEAVER","BEAVER COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,3,"KAMALA D. HARRIS | TIM WALZ",DEM,13,41,104,158,,
11/5/2024,"BEAVER","BEAVER COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,4,"ROBERT F. KENNEDY JR. | NICOLE SHANAHAN",IND,0,2,15,17,,
11/5/2024,"BEAVER","BEAVER COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,5,"CHRIS GARRITY | CODY BALLARD",IND,1,0,2,3,,
11/5/2024,"BEAVER","BEAVER COUNTY",10002,"FOR CORPORATION COMMISSIONER",,7,7,1,"CHAD WILLIAMS",LIB,8,20,107,135,,
11/5/2024,"BEAVER","BEAVER COUNTY",10002,"FOR CORPORATION COMMISSIONER",,7,7,2,"J. BRIAN BINGMAN",REP,63,428,1266,1757,,
11/5/2024,"BEAVER","BEAVER COUNTY",10002,"FOR CORPORATION COMMISSIONER",,7,7,3,"HAROLD D SPRADLING",DEM,9,31,104,144,,
11/5/2024,"BEAVER","BEAVER COUNTY",20003,"SUPREME COURT DISTRICT 3",,7,7,1,"YES",,45,138,439,622,,
11/5/2024,"BEAVER","BEAVER COUNTY",20003,"SUPREME COURT DISTRICT 3",,7,7,2,"NO",,33,317,930,1280,,
11/5/2024,"BEAVER","BEAVER COUNTY",20004,"SUPREME COURT DISTRICT 4",,7,7,1,"YES",,39,137,409,585,,
11/5/2024,"BEAVER","BEAVER COUNTY",20004,"SUPREME COURT DISTRICT 4",,7,7,2,"NO",,38,319,951,1308,,
11/5/2024,"BEAVER","BEAVER COUNTY",20007,"SUPREME COURT DISTRICT 7",,7,7,1,"YES",,40,147,450,637,,
11/5/2024,"BEAVER","BEAVER COUNTY",20007,"SUPREME COURT DISTRICT 7",,7,7,2,"NO",,38,306,918,1262,,
11/5/2024,"BEAVER","BEAVER COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,7,7,1,"YES",,49,266,778,1093,,
11/5/2024,"BEAVER","BEAVER COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,7,7,2,"NO",,23,174,530,727,,
11/5/2024,"BEAVER","BEAVER COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,7,7,1,"YES",,51,251,712,1014,,
11/5/2024,"BEAVER","BEAVER COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,7,7,2,"NO",,21,187,592,800,,
11/5/2024,"BEAVER","BEAVER COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,7,7,1,"YES",,48,231,657,936,,
11/5/2024,"BEAVER","BEAVER COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,7,7,2,"NO",,23,206,644,873,,
11/5/2024,"BEAVER","BEAVER COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,7,7,1,"YES",,49,266,754,1069,,
11/5/2024,"BEAVER","BEAVER COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,7,7,2,"NO",,19,161,535,715,,
11/5/2024,"BEAVER","BEAVER COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,7,7,1,"YES",,49,263,762,1074,,
11/5/2024,"BEAVER","BEAVER COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,7,7,2,"NO",,19,164,529,712,,
11/5/2024,"BEAVER","BEAVER COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,7,7,1,"YES",,48,250,732,1030,,
11/5/2024,"BEAVER","BEAVER COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,7,7,2,"NO",,20,176,554,750,,
11/5/2024,"BEAVER","BEAVER COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,7,7,1,"YES",,43,221,638,902,,
11/5/2024,"BEAVER","BEAVER COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,7,7,2,"NO",,25,203,652,880,,
11/5/2024,"BEAVER","BEAVER COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,7,7,1,"YES",,48,234,672,954,,
11/5/2024,"BEAVER","BEAVER COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,7,7,2,"NO",,20,194,612,826,,
11/5/2024,"BEAVER","BEAVER COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,7,7,1,"YES",,42,228,662,932,,
11/5/2024,"BEAVER","BEAVER COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,7,7,2,"NO",,26,197,627,850,,
11/5/2024,"BEAVER","BEAVER COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,7,7,1,"FOR THE PROPOSAL - YES",,25,172,474,671,,
11/5/2024,"BEAVER","BEAVER COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,7,7,2,"AGAINST THE PROPOSAL - NO",,47,285,904,1236,,
11/5/2024,"BEAVER","BEAVER COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,7,7,1,"FOR THE PROPOSAL - YES",,69,444,1312,1825,,
11/5/2024,"BEAVER","BEAVER COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,7,7,2,"AGAINST THE PROPOSAL - NO",,7,32,108,147,,
11/5/2024,"BECKHAM","BECKHAM COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,12,12,1,"CHASE OLIVER | MIKE TER MAAT",LIB,1,2,23,26,,
11/5/2024,"BECKHAM","BECKHAM COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,12,12,2,"DONALD J. TRUMP | JD VANCE",REP,188,1611,4675,6474,,
11/5/2024,"BECKHAM","BECKHAM COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,12,12,3,"KAMALA D. HARRIS | TIM WALZ",DEM,65,258,770,1093,,
11/5/2024,"BECKHAM","BECKHAM COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,12,12,4,"ROBERT F. KENNEDY JR. | NICOLE SHANAHAN",IND,2,5,64,71,,
11/5/2024,"BECKHAM","BECKHAM COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,12,12,5,"CHRIS GARRITY | CODY BALLARD",IND,0,6,8,14,,
